,pid,jitter,x,sum,total,%,levels
0,303,0,"(303, 0)",9,9,1.0,0.0
1,303,1,"(303, 1)",9,9,1.0,0.005
2,303,2,"(303, 2)",12,12,1.0,0.008340502686000294
3,303,3,"(303, 3)",14,15,0.9333333333333333,0.01391279701103562
4,303,4,"(303, 4)",50,51,0.9803921568627451,0.023207944168063883
5,303,5,"(303, 5)",94,107,0.8785046728971962,0.03871318413405634
6,303,6,"(303, 6)",57,87,0.6551724137931034,0.0645774832507442
7,303,7,"(303, 7)",27,46,0.5869565217391305,0.10772173450159415
8,303,8,"(303, 8)",17,31,0.5483870967741935,0.17969068319023127
9,303,9,"(303, 9)",7,17,0.4117647058823529,0.2997421251594704
10,303,10,"(303, 10)",13,22,0.5909090909090909,0.5
11,309,0,"(309, 0)",99,140,0.7071428571428572,0.0
12,309,1,"(309, 1)",49,69,0.7101449275362319,0.005
13,309,2,"(309, 2)",34,46,0.7391304347826086,0.008340502686000294
14,309,3,"(309, 3)",26,37,0.7027027027027027,0.01391279701103562
15,309,4,"(309, 4)",22,31,0.7096774193548387,0.023207944168063883
16,309,5,"(309, 5)",22,32,0.6875,0.03871318413405634
17,309,6,"(309, 6)",3,13,0.23076923076923078,0.0645774832507442
18,309,7,"(309, 7)",1,6,0.16666666666666666,0.10772173450159415
19,309,8,"(309, 8)",12,16,0.75,0.17969068319023127
20,309,9,"(309, 9)",7,15,0.4666666666666667,0.2997421251594704
21,309,10,"(309, 10)",2,7,0.2857142857142857,0.5
22,310,0,"(310, 0)",69,103,0.6699029126213593,0.0
23,310,1,"(310, 1)",43,57,0.7543859649122807,0.005
24,310,2,"(310, 2)",30,42,0.7142857142857143,0.008340502686000294
25,310,3,"(310, 3)",28,39,0.717948717948718,0.01391279701103562
26,310,4,"(310, 4)",48,57,0.8421052631578947,0.023207944168063883
27,310,5,"(310, 5)",30,50,0.6,0.03871318413405634
28,310,6,"(310, 6)",9,21,0.42857142857142855,0.0645774832507442
29,310,7,"(310, 7)",9,20,0.45,0.10772173450159415
30,310,8,"(310, 8)",10,21,0.47619047619047616,0.17969068319023127
31,310,9,"(310, 9)",6,17,0.35294117647058826,0.2997421251594704
32,310,10,"(310, 10)",10,19,0.5263157894736842,0.5
33,312,0,"(312, 0)",23,23,1.0,0.0
34,312,1,"(312, 1)",28,33,0.8484848484848485,0.005
35,312,2,"(312, 2)",19,25,0.76,0.008340502686000294
36,312,3,"(312, 3)",50,55,0.9090909090909091,0.01391279701103562
37,312,4,"(312, 4)",70,85,0.8235294117647058,0.023207944168063883
38,312,5,"(312, 5)",72,96,0.75,0.03871318413405634
39,312,6,"(312, 6)",34,59,0.576271186440678,0.0645774832507442
40,312,7,"(312, 7)",14,28,0.5,0.10772173450159415
41,312,8,"(312, 8)",10,20,0.5,0.17969068319023127
42,312,9,"(312, 9)",7,16,0.4375,0.2997421251594704
43,312,10,"(312, 10)",10,18,0.5555555555555556,0.5
44,314,0,"(314, 0)",44,54,0.8148148148148148,0.0
45,314,1,"(314, 1)",49,60,0.8166666666666667,0.005
46,314,2,"(314, 2)",49,62,0.7903225806451613,0.008340502686000294
47,314,3,"(314, 3)",30,43,0.6976744186046512,0.01391279701103562
48,314,4,"(314, 4)",29,39,0.7435897435897436,0.023207944168063883
49,314,5,"(314, 5)",26,38,0.6842105263157895,0.03871318413405634
50,314,6,"(314, 6)",8,19,0.42105263157894735,0.0645774832507442
51,314,7,"(314, 7)",16,23,0.6956521739130435,0.10772173450159415
52,314,8,"(314, 8)",10,20,0.5,0.17969068319023127
53,314,9,"(314, 9)",20,28,0.7142857142857143,0.2997421251594704
54,314,10,"(314, 10)",20,34,0.5882352941176471,0.5
55,315,0,"(315, 0)",75,107,0.7009345794392523,0.0
56,315,1,"(315, 1)",29,46,0.6304347826086957,0.005
57,315,2,"(315, 2)",27,38,0.7105263157894737,0.008340502686000294
58,315,3,"(315, 3)",33,46,0.717391304347826,0.01391279701103562
59,315,4,"(315, 4)",40,56,0.7142857142857143,0.023207944168063883
60,315,5,"(315, 5)",23,41,0.5609756097560976,0.03871318413405634
61,315,6,"(315, 6)",18,31,0.5806451612903226,0.0645774832507442
62,315,7,"(315, 7)",17,28,0.6071428571428571,0.10772173450159415
63,315,8,"(315, 8)",9,20,0.45,0.17969068319023127
64,315,9,"(315, 9)",14,24,0.5833333333333334,0.2997421251594704
65,315,10,"(315, 10)",9,20,0.45,0.5
66,317,0,"(317, 0)",31,32,0.96875,0.0
67,317,1,"(317, 1)",29,36,0.8055555555555556,0.005
68,317,2,"(317, 2)",41,46,0.8913043478260869,0.008340502686000294
69,317,3,"(317, 3)",46,56,0.8214285714285714,0.01391279701103562
70,317,4,"(317, 4)",79,93,0.8494623655913979,0.023207944168063883
71,317,5,"(317, 5)",32,58,0.5517241379310345,0.03871318413405634
72,317,6,"(317, 6)",14,27,0.5185185185185185,0.0645774832507442
73,317,7,"(317, 7)",13,23,0.5652173913043478,0.10772173450159415
74,317,8,"(317, 8)",6,15,0.4,0.17969068319023127
75,317,9,"(317, 9)",11,19,0.5789473684210527,0.2997421251594704
76,317,10,"(317, 10)",10,19,0.5263157894736842,0.5
77,318,0,"(318, 0)",12,13,0.9230769230769231,0.0
78,318,1,"(318, 1)",15,17,0.8823529411764706,0.005
79,318,2,"(318, 2)",19,21,0.9047619047619048,0.008340502686000294
80,318,3,"(318, 3)",48,51,0.9411764705882353,0.01391279701103562
81,318,4,"(318, 4)",80,93,0.8602150537634409,0.023207944168063883
82,318,5,"(318, 5)",40,68,0.5882352941176471,0.03871318413405634
83,318,6,"(318, 6)",17,32,0.53125,0.0645774832507442
84,318,7,"(318, 7)",17,29,0.5862068965517241,0.10772173450159415
85,318,8,"(318, 8)",12,24,0.5,0.17969068319023127
86,318,9,"(318, 9)",15,28,0.5357142857142857,0.2997421251594704
87,318,10,"(318, 10)",10,22,0.45454545454545453,0.5
88,319,0,"(319, 0)",279,758,0.36807387862796836,0.0
89,319,1,"(319, 1)",24,59,0.4067796610169492,0.005
90,319,2,"(319, 2)",7,16,0.4375,0.008340502686000294
91,319,3,"(319, 3)",2,9,0.2222222222222222,0.01391279701103562
