,pid,log_jitter,id
405,303,4,405
28,303,5,28
50,303,5,50
69,303,6,69
102,303,5,102
140,303,5,140
165,303,6,165
185,303,6,185
217,303,4,217
245,303,5,245
270,303,5,270
293,303,4,293
322,303,5,322
345,303,5,345
372,303,4,372
411,309,0,411
26,309,2,26
50,309,5,50
76,309,3,76
95,309,3,95
118,309,0,118
147,309,0,147
166,309,4,166
211,309,0,211
232,309,2,232
252,309,5,252
285,309,0,285
321,309,0,321
348,309,0,348
377,309,1,377
445,310,3,445
17,310,0,17
38,310,5,38
58,310,4,58
78,310,5,78
102,310,5,102
140,310,0,140
181,310,1,181
208,310,3,208
227,310,5,227
267,310,4,267
299,310,2,299
317,310,0,317
348,310,1,348
410,310,0,410
457,312,3,457
36,312,3,36
60,312,5,60
103,312,4,103
133,312,5,133
158,312,3,158
186,312,1,186
225,312,0,225
252,312,4,252
294,312,3,294
323,312,5,323
348,312,4,348
379,312,4,379
406,312,5,406
428,312,6,428
419,314,9,419
27,314,6,27
49,314,5,49
71,314,2,71
99,314,2,99
119,314,4,119
138,314,8,138
173,314,0,173
200,314,5,200
240,314,2,240
266,314,0,266
295,314,0,295
329,314,5,329
365,314,0,365
392,314,0,392
456,315,1,456
19,315,5,19
60,315,3,60
96,315,0,96
134,315,0,134
163,315,0,163
193,315,2,193
226,315,2,226
245,315,8,245
280,315,0,280
295,315,1,295
331,315,0,331
377,315,1,377
403,315,0,403
425,315,3,425
423,317,3,423
31,317,5,31
61,317,4,61
91,317,5,91
112,317,2,112
137,317,4,137
166,317,4,166
189,317,4,189
223,317,2,223
244,317,0,244
284,317,2,284
306,317,2,306
330,317,1,330
351,317,5,351
377,317,5,377
397,318,4,397
26,318,3,26
53,318,4,53
82,318,2,82
105,318,5,105
139,318,4,139
162,318,3,162
189,318,3,189
218,318,6,218
244,318,4,244
264,318,3,264
284,318,3,284
301,318,6,301
331,318,3,331
362,318,8,362
961,319,1,961
140,319,1,140
172,319,1,172
202,319,1,202
259,319,0,259
455,319,0,455
483,319,0,483
496,319,10,496
571,319,0,571
614,319,0,614
689,319,0,689
754,319,1,754
783,319,1,783
823,319,0,823
898,319,1,898
438,320,6,438
24,320,3,24
54,320,4,54
78,320,5,78
102,320,2,102
131,320,2,131
156,320,2,156
186,320,3,186
225,320,3,225
246,320,2,246
282,320,2,282
303,320,5,303
333,320,5,333
369,320,5,369
405,320,5,405
392,321,2,392
25,321,3,25
63,321,0,63
90,321,4,90
117,321,4,117
132,321,2,132
160,321,4,160
184,321,4,184
209,321,4,209
226,321,5,226
253,321,1,253
281,321,1,281
299,321,6,299
320,321,2,320
357,321,0,357
484,322,1,484
42,322,1,42
80,322,4,80
107,322,0,107
133,322,2,133
156,322,4,156
192,322,1,192
211,322,5,211
238,322,1,238
274,322,0,274
314,322,0,314
357,322,8,357
391,322,2,391
416,322,1,416
450,322,1,450
451,323,2,451
26,323,5,26
63,323,2,63
93,323,0,93
124,323,0,124
155,323,3,155
180,323,0,180
213,323,1,213
246,323,0,246
272,323,4,272
293,323,2,293
312,323,0,312
343,323,3,343
368,323,3,368
426,323,3,426
418,324,5,418
35,324,0,35
63,324,0,63
111,324,1,111
136,324,2,136
