,responses,targets,jitter,n1,n2
0,down,lower,0,0,8
1,up,higher,2,6,5
2,down,lower,4,2,0
3,up,higher,6,9,1
4,down,lower,8,3,4
5,up,higher,10,8,8
6,down,higher,12,9,1
7,up,higher,10,5,5
8,down,higher,10,1,2
9,down,lower,8,3,7
10,up,lower,8,9,4
11,down,higher,6,3,7
12,down,lower,4,3,8
13,up,higher,4,6,7
14,down,lower,4,8,2
15,up,higher,6,2,8
16,up,higher,6,7,9
17,up,higher,6,5,0
18,up,higher,8,0,3
19,down,lower,8,8,3
20,up,higher,8,3,2
21,down,higher,10,5,0
22,down,lower,8,4,1
23,down,lower,8,3,3
24,up,higher,8,0,0
25,down,higher,10,5,2
26,up,higher,8,7,5
27,down,lower,8,5,7
28,up,lower,8,8,9
29,down,higher,6,9,2
30,down,lower,4,0,9
31,down,lower,4,8,6
32,up,higher,4,4,2
33,down,lower,20,4,9
34,up,lower,20,5,7
35,up,higher,18,6,3
36,down,lower,18,3,1
37,up,lower,18,6,6
38,up,higher,16,4,1
39,down,lower,16,2,7
40,up,lower,16,6,6
41,up,lower,14,0,1
42,up,lower,12,2,5
43,up,higher,10,1,4
44,down,lower,10,9,5
45,up,higher,10,2,3
46,up,lower,12,6,1
47,down,lower,10,8,9
48,up,higher,10,8,9
49,down,lower,10,3,6
50,up,higher,12,8,9
51,down,higher,12,0,5
52,up,lower,10,6,6
53,down,higher,8,6,2
54,down,higher,6,7,8
55,up,higher,4,8,8
56,up,higher,4,8,9
57,down,lower,4,7,8
58,up,higher,20,9,2
59,up,higher,20,1,6
60,down,lower,20,4,7
61,up,higher,20,6,7
62,down,higher,20,6,3
63,up,lower,18,7,8
64,down,lower,16,7,8
65,down,lower,16,4,3
66,up,lower,16,1,0
67,down,lower,14,1,5
68,up,higher,14,5,1
69,up,higher,14,1,9
70,up,higher,16,6,8
71,down,higher,16,9,0
72,down,higher,14,6,5
73,down,higher,12,7,9
74,up,higher,10,2,5
75,down,higher,10,1,7
76,down,lower,8,3,5
77,down,lower,8,1,8
78,up,higher,8,2,9
79,up,higher,10,1,5
80,down,lower,10,0,7
81,up,lower,10,7,9
82,up,lower,8,1,3
83,down,lower,6,0,4
84,down,lower,6,2,1
85,down,lower,6,7,2
86,up,higher,0,9,4
87,up,higher,2,3,5
88,up,higher,4,1,8
89,up,higher,6,9,9
90,up,higher,8,0,9
91,up,lower,10,0,3
92,up,higher,8,5,1
93,down,lower,8,2,6
94,down,lower,8,3,1
95,down,lower,10,5,2
96,up,lower,10,1,6
97,down,lower,8,2,2
98,down,lower,8,2,0
99,up,higher,8,9,6
100,up,higher,10,5,6
101,up,higher,10,5,0
102,down,higher,10,6,0
103,down,lower,8,6,0
104,down,lower,8,2,5
105,down,lower,8,8,9
106,up,higher,0,1,7
107,up,higher,2,9,9
108,up,higher,4,1,7
109,up,higher,6,9,6
110,up,higher,8,7,3
111,up,higher,10,0,0
112,up,higher,12,3,2
113,up,higher,14,9,1
114,up,higher,16,2,1
115,down,lower,18,0,6
116,up,lower,20,0,9
117,up,lower,18,4,7
118,up,higher,16,4,3
119,down,lower,16,9,5
120,up,lower,16,7,9
121,down,higher,14,7,4
122,down,higher,12,0,5
123,down,higher,10,0,9
124,down,lower,8,6,3
125,down,lower,8,1,7
126,up,higher,8,1,5
127,down,lower,10,1,7
128,down,lower,10,3,1
129,up,higher,10,1,3
130,up,higher,12,8,7
131,down,lower,12,2,7
132,up,lower,12,2,0
133,down,higher,10,9,1
134,up,higher,8,3,5
135,down,lower,8,1,7
136,up,lower,8,6,6
137,up,higher,6,6,8
138,down,higher,6,6,3
139,up,higher,4,9,6
140,down,lower,4,3,4
141,down,lower,4,1,8
142,down,lower,6,1,3
143,up,higher,6,3,4
144,down,lower,6,7,0
145,down,lower,8,6,8
146,down,lower,8,8,1
147,down,lower,8,4,6
148,up,lower,10,3,8
149,up,higher,8,9,9
150,down,lower,8,2,3
151,up,higher,8,0,7
152,up,lower,20,0,6
153,down,lower,18,7,1
154,up,higher,20,7,1
155,down,lower,20,7,0
156,down,higher,20,0,9
157,up,higher,18,5,1
158,up,higher,18,3,5
159,down,lower,18,7,0
160,up,lower,20,4,2
161,down,lower,18,7,6
162,up,higher,18,4,1
163,down,lower,18,8,3
164,down,lower,20,6,4
165,up,lower,20,8,2
166,down,higher,20,8,5
167,up,lower,18,5,3
168,down,lower,16,5,3
169,up,lower,18,3,1
170,down,higher,16,0,0
171,up,lower,14,4,1
172,down,lower,12,5,5
173,up,lower,12,7,0
174,down,lower,10,2,0
175,up,lower,10,1,0
176,up,higher,8,3,4
177,up,higher,8,1,5
178,up,higher,8,5,1
179,up,higher,10,6,4
180,down,higher,10,1,9
181,up,higher,8,1,2
182,up,higher,8,9,3
183,down,higher,8,6,3
184,down,lower,6,8,3
185,up,higher,6,5,2
186,up,higher,6,0,3
187,down,lower,8,0,5
188,down,lower,8,3,7
189,up,lower,8,0,1
190,down,lower,0,3,9
191,up,higher,2,1,2
192,down,lower,4,9,2
193,up,higher,6,8,9
194,down,higher,8,5,5
195,down,lower,6,3,6
196,down,lower,6,6,4
197,down,lower,6,7,4
198,up,higher,8,2,2
199,up,higher,8,9,7
200,down,lower,8,3,2
201,down,higher,10,0,3
202,down,lower,8,3,8
203,down,lower,8,0,9
204,up,higher,8,7,8
205,down,higher,10,2,4
206,up,higher,8,1,9
207,up,higher,8,7,0
208,down,lower,8,0,2
209,up,higher,20,4,9
210,up,higher,20,1,4
211,up,lower,20,0,7
212,up,higher,18,8,4
213,down,lower,18,3,7
214,down,higher,18,1,8
