,responses,targets,jitter,n1,n2,rt,pid,abs_time,time
0,down,lower,10,18,9,3.423497416999453,324,1740144982,81.12729879200015
1,down,lower,10,58,59,3.9928012500004115,324,1740144986,85.82513262499924
2,up,higher,10,52,48,2.5697250829998666,324,1740144990,89.10015204199954
3,up,higher,10,92,62,4.108901499999774,324,1740144994,93.91415191700071
4,up,lower,10,22,89,3.764948459000152,324,1740144999,98.38415241700022
5,up,higher,9,42,65,2.5245822079996287,324,1740145002,101.61720670899922
6,down,higher,9,93,43,1.9897310840005957,324,1740145005,104.31219820899969
7,up,lower,8,26,87,2.328653749998921,324,1740145008,107.3492380000007
8,down,higher,7,76,72,1.5485879999996541,324,1740145010,109.60620824999933
9,down,higher,6,62,50,1.6698263750004116,324,1740145012,111.98119066700019
10,up,lower,5,73,4,2.636801624999862,324,1740145016,115.32625662499959
11,down,lower,4,67,8,2.980759832998956,324,1740145019,119.01517837500069
12,up,higher,4,98,41,1.23989095899924,324,1740145021,120.96010924999973
13,down,lower,4,43,39,1.9275462080004218,324,1740145024,123.59317437500067
14,up,higher,5,22,60,2.3048880829992413,324,1740145027,126.60319700000036
15,down,higher,5,58,9,1.7589255000002595,324,1740145030,129.06724458399913
16,down,higher,4,99,0,2.405867124998622,324,1740145033,132.17819537499963
17,down,lower,3,50,82,2.281610832998922,324,1740145036,135.16830766699968
18,up,higher,3,24,97,1.6373810000004596,324,1740145038,137.51107408399912
19,down,higher,3,89,76,2.067950958000438,324,1740145041,140.28415195900016
20,up,lower,2,0,39,2.01537400000052,324,1740145043,143.00816158399903
21,down,higher,1,41,68,3.227616042000591,324,1740145047,146.94118966699898
22,down,lower,0,15,7,1.4437790829997539,324,1740145050,149.09023049999996
23,up,higher,0,43,66,1.4611026669990679,324,1740145052,151.25619183399976
24,down,lower,0,92,72,1.0769643749990792,324,1740145053,153.03815470900008
25,up,higher,1,83,33,1.5169662499993137,324,1740145056,155.26022183399982
26,down,lower,1,35,14,1.8088872089992947,324,1740145058,157.774173333999
27,up,higher,1,71,18,3.2796011669997824,324,1740145062,161.75916166699972
28,up,higher,2,21,26,1.1458364999998594,324,1740145064,163.61013441700015
29,down,higher,2,97,58,2.422130458000538,324,1740145067,166.73721637500057
30,down,lower,1,20,28,1.2924579160007852,324,1740145069,168.73508295899956
31,down,lower,1,54,62,1.3322744159995636,324,1740145071,170.7721637499999
