,pid,jitter,x,sum,total,perc_correct,levels
0,0,0.0,"(0, 0.0)",78,122,0.639344262295082,0.0
1,0,1.0,"(0, 1.0)",15,31,0.4838709677419355,0.005
2,0,2.0,"(0, 2.0)",8,13,0.6153846153846154,0.008340502686000294
3,0,3.0,"(0, 3.0)",11,15,0.7333333333333333,0.01391279701103562
4,0,4.0,"(0, 4.0)",3,7,0.42857142857142855,0.023207944168063883
5,0,5.0,"(0, 5.0)",4,7,0.5714285714285714,0.03871318413405634
6,0,6.0,"(0, 6.0)",4,8,0.5,0.0645774832507442
7,0,7.0,"(0, 7.0)",7,10,0.7,0.10772173450159415
8,0,8.0,"(0, 8.0)",9,12,0.75,0.17969068319023127
9,0,9.0,"(0, 9.0)",6,12,0.5,0.2997421251594704
10,0,10.0,"(0, 10.0)",2,6,0.3333333333333333,0.5
11,1,0.0,"(1, 0.0)",9,9,1.0,0.0
12,1,1.0,"(1, 1.0)",9,9,1.0,0.005
13,1,2.0,"(1, 2.0)",12,12,1.0,0.008340502686000294
14,1,3.0,"(1, 3.0)",14,15,0.9333333333333333,0.01391279701103562
15,1,4.0,"(1, 4.0)",50,51,0.9803921568627451,0.023207944168063883
16,1,5.0,"(1, 5.0)",94,107,0.8785046728971962,0.03871318413405634
17,1,6.0,"(1, 6.0)",57,87,0.6551724137931034,0.0645774832507442
18,1,7.0,"(1, 7.0)",27,46,0.5869565217391305,0.10772173450159415
19,1,8.0,"(1, 8.0)",17,31,0.5483870967741935,0.17969068319023127
20,1,9.0,"(1, 9.0)",7,17,0.4117647058823529,0.2997421251594704
21,1,10.0,"(1, 10.0)",13,22,0.5909090909090909,0.5
22,2,0.0,"(2, 0.0)",99,140,0.7071428571428572,0.0
23,2,1.0,"(2, 1.0)",49,69,0.7101449275362319,0.005
24,2,2.0,"(2, 2.0)",34,46,0.7391304347826086,0.008340502686000294
25,2,3.0,"(2, 3.0)",26,37,0.7027027027027027,0.01391279701103562
26,2,4.0,"(2, 4.0)",22,31,0.7096774193548387,0.023207944168063883
27,2,5.0,"(2, 5.0)",22,32,0.6875,0.03871318413405634
28,2,6.0,"(2, 6.0)",3,13,0.23076923076923078,0.0645774832507442
29,2,7.0,"(2, 7.0)",1,6,0.16666666666666666,0.10772173450159415
30,2,8.0,"(2, 8.0)",12,16,0.75,0.17969068319023127
31,2,9.0,"(2, 9.0)",7,15,0.4666666666666667,0.2997421251594704
32,2,10.0,"(2, 10.0)",2,7,0.2857142857142857,0.5
33,3,0.0,"(3, 0.0)",69,103,0.6699029126213593,0.0
34,3,1.0,"(3, 1.0)",43,57,0.7543859649122807,0.005
35,3,2.0,"(3, 2.0)",30,42,0.7142857142857143,0.008340502686000294
36,3,3.0,"(3, 3.0)",28,39,0.717948717948718,0.01391279701103562
37,3,4.0,"(3, 4.0)",48,57,0.8421052631578947,0.023207944168063883
38,3,5.0,"(3, 5.0)",30,50,0.6,0.03871318413405634
39,3,6.0,"(3, 6.0)",9,21,0.42857142857142855,0.0645774832507442
40,3,7.0,"(3, 7.0)",9,20,0.45,0.10772173450159415
41,3,8.0,"(3, 8.0)",10,21,0.47619047619047616,0.17969068319023127
42,3,9.0,"(3, 9.0)",6,17,0.35294117647058826,0.2997421251594704
43,3,10.0,"(3, 10.0)",10,19,0.5263157894736842,0.5
44,4,0.0,"(4, 0.0)",23,23,1.0,0.0
45,4,1.0,"(4, 1.0)",28,33,0.8484848484848485,0.005
46,4,2.0,"(4, 2.0)",19,25,0.76,0.008340502686000294
47,4,3.0,"(4, 3.0)",50,55,0.9090909090909091,0.01391279701103562
48,4,4.0,"(4, 4.0)",70,85,0.8235294117647058,0.023207944168063883
49,4,5.0,"(4, 5.0)",72,96,0.75,0.03871318413405634
50,4,6.0,"(4, 6.0)",34,59,0.576271186440678,0.0645774832507442
51,4,7.0,"(4, 7.0)",14,28,0.5,0.10772173450159415
52,4,8.0,"(4, 8.0)",10,20,0.5,0.17969068319023127
53,4,9.0,"(4, 9.0)",7,16,0.4375,0.2997421251594704
54,4,10.0,"(4, 10.0)",10,18,0.5555555555555556,0.5
55,5,0.0,"(5, 0.0)",44,54,0.8148148148148148,0.0
56,5,1.0,"(5, 1.0)",49,60,0.8166666666666667,0.005
57,5,2.0,"(5, 2.0)",49,62,0.7903225806451613,0.008340502686000294
58,5,3.0,"(5, 3.0)",30,43,0.6976744186046512,0.01391279701103562
59,5,4.0,"(5, 4.0)",29,39,0.7435897435897436,0.023207944168063883
60,5,5.0,"(5, 5.0)",26,38,0.6842105263157895,0.03871318413405634
